MessageId,CorrelationId,SoftwareVersionNumber,StatusCode,ResultCode,ns4:AcknowledgementCode,ns4:AcknowledgementMessage,ns4:TransactionID,ns4:Servicer,ns4:Company,ns4:LoanNumber,ns4:BillingEntity,ns4:BillingCode,ns4:BillingDateTime,ns5:ContactInformation,ns5:CorrelationID,ns3:CategoryDescription,ns3:CategoryID,ns3:InvoiceTypeCode,ns3:InvoiceTypeDescription,ns3:SubCategoryDescription,ns3:SubCategoryID
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Entry of Appearance and Request for Notices,53
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Entry of Appearance and Request for Notices,53
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Estate Work,222
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Estate Work,222
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Service Costs,4,807,Foreclosure Services - Judicial,Eviction Service,8
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Service Costs,4,808,Foreclosure Services - Non-Judicial,Eviction Service,8
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Misc Costs,7,807,Foreclosure Services - Judicial,Eviction Service,18
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Misc Costs,7,808,Foreclosure Services - Non-Judicial,Eviction Service,18
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Advances - Costs,8,807,Foreclosure Services - Judicial,Excise Tax,38
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Advances - Costs,8,808,Foreclosure Services - Non-Judicial,Excise Tax,38
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Exparte Fee,48
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Exparte Fee,48
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Recording Costs,3,807,Foreclosure Services - Judicial,Fee / Recording,1
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Recording Costs,3,808,Foreclosure Services - Non-Judicial,Fee / Recording,1
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Fee up to Bankruptcy,63
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Fee up to Bankruptcy,63
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Service Costs,4,807,Foreclosure Services - Judicial,Field Services,12
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Service Costs,4,808,Foreclosure Services - Non-Judicial,Field Services,12
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Filed Answer to Adversarial Proceeding,137
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Filed Answer to Adversarial Proceeding,137
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Filing Costs,2,807,Foreclosure Services - Judicial,Filing Fee Answer,14
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Filing Costs,2,808,Foreclosure Services - Non-Judicial,Filing Fee Answer,14
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Filing Costs,2,807,Foreclosure Services - Judicial,Filing Fee Complaint,15
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Filing Costs,2,808,Foreclosure Services - Non-Judicial,Filing Fee Complaint,15
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Filing Costs,2,807,Foreclosure Services - Judicial,Filing Notice of Motion,12
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Filing Costs,2,808,Foreclosure Services - Non-Judicial,Filing Notice of Motion,12
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Filing Costs,2,807,Foreclosure Services - Judicial,Filing Notice of Settlement,11
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Filing Costs,2,808,Foreclosure Services - Non-Judicial,Filing Notice of Settlement,11
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Title Costs,9,807,Foreclosure Services - Judicial,Final Title Charges/Commitment,20
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Title Costs,9,808,Foreclosure Services - Non-Judicial,Final Title Charges/Commitment,20
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Advances - Costs,8,807,Foreclosure Services - Judicial,Fire District Tax,34
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Advances - Costs,8,808,Foreclosure Services - Non-Judicial,Fire District Tax,34
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Foreclosure Through Bankruptcy,72
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Foreclosure Through Bankruptcy,72
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Foreclosure Through Complaint,73
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Foreclosure Through Complaint,73
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Foreclosure Through Deed-In-Lieu,64
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Foreclosure Through Deed-In-Lieu,64
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Foreclosure Through Judgment,76
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Foreclosure Through Judgment,76
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Foreclosure Through Notice of Intention,65
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Foreclosure Through Notice of Intention,65
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Foreclosure Through Payoff,77
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Foreclosure Through Payoff,77
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Foreclosure Through Pre Judgment,66
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Foreclosure Through Pre Judgment,66
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,807,Foreclosure Services - Judicial,Foreclosure Through Pre Sale,67
b342f79c-9d59-42a8-b883-d5c0eb15d86f,jfrank,6.5.227.1,Success,0,0,The request was processed successfully.,b342f79c-9d59-42a8-b883-d5c0eb15d86f,933,SIROTE,6992761995,6992761995,1,2016-07-01T15:51:41.0333024-05:00,,,Attorney Fees,1,808,Foreclosure Services - Non-Judicial,Foreclosure Through Pre Sale,67
